华陇建中小区 1室1厅 46.66平米,2018.03.14,268,57437
益丰新村 2室2厅 75.44平米,2018.03.12,351,46528
益丰新村 2室1厅 76.02平米,2018.03.09,360,47356
汤臣高尔夫(公寓) 3室2厅 153.82平米,2018.03.08,1049,68197
城市经典(五期) 4室2厅 373.16平米,2018.03.07,2300,61636
古桐路小区 1室1厅 36.45平米,2018.03.03,222,60906
城市经典(一期)(别墅) 4室2厅 219平米,2018.03.03,1530,69864
益丰新村 2室1厅 75.93平米,2018.03.03,356,46886
汤臣湖庭 4室3厅 397.16平米,2018.02.24,2900,73019
玉兰香苑(二期) 1室1厅 58平米,2018.02.07,355,61207
张江汤臣豪园(二期) 3室2厅 137.26平米,2018.02.05,650,47356
阳光花城 2室2厅 97.56平米,2018.01.28,643.8,65991
玉兰香苑(一期) 2室2厅 87.29平米,2018.01.28,432,49491
川杨新苑(三期) 2室2厅 87.1平米,2018.01.27,399.8,45902
紫晶苑 2室2厅 79.2平米,2018.01.27,328,41415
益丰新村 2室1厅 75.93平米,2018.01.27,350,46096
毕加索小镇(一期)(公寓) 2室2厅 83.45平米,2018.01.23,457.8,54860
中芯花园(公寓) 2室2厅 92.05平米,2018.01.21,575,62467
紫晶苑 1室2厅 56平米,2018.01.20,286,51072
玉兰香苑(二期) 3室2厅 109.26平米,2018.01.20,545,49882
张江汤臣豪园(二期) 3室2厅 134.65平米,2018.01.16,660,49016
川杨新苑(一期) 2室2厅 87.66平米,2018.01.14,416,47457
张江汤臣豪园(四期) 2室2厅 89.9平米,2018.01.12,705,78421
杨镇新村 3室1厅 85.61平米,2018.01.12,375,43804
张江汤臣豪园(二期) 2室2厅 91.88平米,2018.01.10,785,85438
东郊华庭 5室2厅 373.71平米,2018.01.08,1900,50842
樟盛苑 1室1厅 61.49平米,2018.01.03,308,50090
杨镇新村 2室1厅 71.74平米,2017.12.31,322,44885
中芯花园(公寓) 2室2厅 105.27平米,2017.12.30,630,59847
香楠小区 2室1厅 60.69平米,2017.12.29,310,51080
春港丽园(公寓) 2室1厅 66平米,2017.12.28,345,52273
玉兰香苑(四期) 3室2厅 114.52平米,2017.12.27,530,46281
玫瑰湾(别墅) 4室2厅 296.45平米,2017.12.27,1500,50599
香楠小区 3室1厅 82.77平米,2017.12.27,440.5,53220
玉兰香苑(一期) 3室2厅 118.44平米,2017.12.27,480,40527
紫晶苑 2室2厅 81.5平米,2017.12.23,340,41718
益丰新村 2室2厅 76.57平米,2017.12.23,400,52240
玉兰香苑(一期) 3室2厅 112.31平米,2017.12.20,475.5,42339
香楠小区 3室1厅 80平米,2017.12.16,440,55000
汤臣湖庭 4室2厅 394.16平米,2017.12.15,2800,71038
东方别墅 6室3厅 675.25平米,2017.12.08,6000,88856
汤臣高尔夫(别墅) 6室3厅 419.31平米,2017.12.04,4150,98973
古桐公寓 2室1厅 65.68平米,2017.12.02,350,53289
杨镇新村 2室1厅 71.67平米,2017.12.02,312.5,43603
建中路171弄 2室1厅 72平米,2017.12.02,370,51389
玉兰香苑(一期) 3室2厅 118.13平米,2017.11.25,540,45713
张江汤臣豪园(二期) 3室2厅 124.57平米,2017.11.25,968,77708
毕加索小镇(二期)(公寓) 3室2厅 89平米,2017.11.25,560,62922
阳光花城 2室2厅 112.98平米,2017.11.25,660,58418
香楠小区 3室1厅 80.34平米,2017.11.24,415,51656
汤臣高尔夫(别墅) 5室3厅 365.56平米,2017.11.23,3050,83434
日月光水岸花园(公寓) 2室2厅 87平米,2017.11.22,568,65288
杨镇新村 2室1厅 65.42平米,2017.11.22,317,48457
古桐路小区 2室1厅 69.68平米,2017.11.21,380,54536
益丰新村 2室1厅 75.81平米,2017.11.20,388,51181
中芯花园(公寓) 2室1厅 67.05平米,2017.11.18,330,49218
万科翡翠公园(商业类) 1室2厅 46平米,2017.11.14,245,53261
香楠小区 2室1厅 63.07平米,2017.11.14,350,55494
毕加索小镇(一期)(公寓) 2室2厅 59.87平米,2017.11.12,385,64306
毕加索小镇(二期)(公寓) 3室2厅 90.34平米,2017.11.12,550,60882
华陇建中小区 2室1厅 58.31平米,2017.11.09,300,51450
汤臣豪庭 4室2厅 183.3平米,2017.11.06,1200,65467
中芯花园(公寓) 3室2厅 130.63平米,2017.11.05,760,58180
川杨新苑(一期) 2室2厅 87.72平米,2017.11.05,450,51300
玉兰香苑(四期) 1室1厅 62.04平米,2017.11.04,331,53353
毕加索小镇(一期)(公寓) 2室2厅 93.89平米,2017.11.03,490,52189
中芯花园(公寓) 2室2厅 101.86平米,2017.11.03,618.8,60751
玫瑰湾(公寓) 3室2厅 132.6平米,2017.11.03,590,44495
阳光花城 2室2厅 97.62平米,2017.10.31,640,65561
杨镇新村 3室1厅 85.61平米,2017.10.29,395,46140
中芯花园(公寓) 2室2厅 105.26平米,2017.10.28,615,58427
贝越流明新苑 3室2厅 129.32平米,2017.10.28,655,50650
玉兰香苑(三期) 1室2厅 60.57平米,2017.10.27,326.5,53905
东方别墅 4室2厅 231.61平米,2017.10.26,2200,94988
紫晶苑 1室1厅 61.04平米,2017.10.22,270,44234
孙桥花苑 2室2厅 82平米,2017.10.22,335,40854
日月光水岸花园(公寓) 2室2厅 90.42平米,2017.10.22,618,68348
春港丽园(公寓) 2室1厅 58.09平米,2017.10.21,308,53022
香楠小区 2室1厅 72.38平米,2017.10.21,382,52778
玉兰香苑(四期) 2室2厅 97.95平米,2017.10.18,466,47576
汤臣湖庭 4室2厅 392.74平米,2017.10.17,2930,74605
玉兰香苑(二期) 2室1厅 90平米,2017.10.15,470,52223
玉兰香苑(二期) 1室2厅 57.75平米,2017.10.15,320,55412
张江汤臣豪园(四期) 2室2厅 109平米,2017.10.15,890,81652
益丰新村 1室1厅 56.54平米,2017.10.14,308,54475
玉兰香苑(四期) 3室2厅 114.1平米,2017.10.14,505,44260
杨镇新村 3室1厅 85.63平米,2017.10.14,396.5,46304
春港丽园(公寓) 2室2厅 77.48平米,2017.10.10,376,48529
益丰新村 2室2厅 76.02平米,2017.10.09,385,50645
玉兰香苑(四期) 2室2厅 98.58平米,2017.10.09,470.6,47738
张江新苑 3室2厅 126.62平米,2017.10.09,658,51967
中芯花园(公寓) 3室2厅 125.46平米,2017.09.29,790,62969
汤臣高尔夫(公寓) 3室2厅 138.53平米,2017.09.29,950,68578
东郊花园 5室3厅 551.6平米,2017.09.28,5500,99710
张江新苑 2室2厅 102.34平米,2017.09.25,570,55697
杨镇新村 3室1厅 85.75平米,2017.09.24,368,42916
日月光水岸花园(公寓) 2室2厅 86.41平米,2017.09.24,605,70016
益丰新村 2室2厅 76平米,2017.09.24,384,50527
玉兰香苑(二期) 2室2厅 89.9平米,2017.09.22,445,49500
建中路171弄 2室1厅 71平米,2017.09.20,367.8,51803
中芯花园(公寓) 3室2厅 125.07平米,2017.09.19,808,64604
张江公馆 2室2厅 71.4平米,2017.09.19,358,50141
城市经典(四期) 2室2厅 107.1平米,2017.09.19,610,56957
香楠小区 3室1厅 75.2平米,2017.09.17,450,59841
紫晶苑 4室1厅 101.67平米,2017.09.17,425,41802
古桐五村 2室2厅 95.35平米,2017.09.17,473.6,49670
张江公馆 3室2厅 105.39平米,2017.09.12,487.5,46257
汤臣高尔夫(别墅) 5室2厅 305.67平米,2017.09.12,2320,75899
贝越流明新苑 3室2厅 103平米,2017.09.10,538,52234
张江汤臣豪园(二期) 2室2厅 74.94平米,2017.09.09,625,83401
张江汤臣豪园(二期) 3室2厅 107平米,2017.09.06,770,71963
广兰名苑 3室2厅 144.75平米,2017.09.03,790,54577
张江汤臣豪园(二期) 2室2厅 76.87平米,2017.09.02,611.5,79550
盛大天地青春里(一期) 1室1厅 69平米,2017.09.02,208,30145
春港丽园(公寓) 3室1厅 77.3平米,2017.08.30,348,45020
玉兰香苑(四期) 3室2厅 122.97平米,2017.08.27,585,47573
城市经典(四期) 2室2厅 114.05平米,2017.08.27,720,63131
益丰新村 2室1厅 75.93平米,2017.08.26,372,48993
玉兰香苑(三期) 2室2厅 93.76平米,2017.08.26,430,45862
樟盛苑 2室2厅 90.66平米,2017.08.26,435,47982
香楠小区 3室1厅 75平米,2017.08.25,397,52934
杨镇新村 2室1厅 71.67平米,2017.08.24,325.5,45417
绿地MTOWN 1室0厅 37平米,2017.08.19,170,45946
阳光花城 3室2厅 113.25平米,2017.08.13,708,62517
春港丽园(公寓) 2室2厅 76.46平米,2017.08.13,358,46822
张江汤臣豪园(四期) 2室2厅 90.26平米,2017.08.11,770,85310
城市经典(四期) 3室2厅 162.03平米,2017.08.09,1080,66655
玉兰香苑(三期) 3室2厅 119.86平米,2017.08.05,548,45721
城市经典(三期) 4室2厅 328.76平米,2017.08.05,1618,49216
张江汤臣豪园(三期) 2室2厅 88.66平米,2017.08.04,730,82338
孙桥花苑 2室2厅 67.43平米,2017.07.29,307,45529
玉兰香苑(三期) 1室1厅 57.96平米,2017.07.29,312,53831
日月光水岸花园(公寓) 3室2厅 144.35平米,2017.07.25,935,64774
东郊紫园 4室2厅 377.41平米,2017.07.24,1950,51668
春港丽园(公寓) 2室2厅 77.48平米,2017.07.23,380,49045
毕加索小镇(一期)(公寓) 1室1厅 66平米,2017.07.21,416,63031
城市经典二期(公寓) 2室2厅 101.65平米,2017.07.20,722,71029
香楠小区 3室1厅 80.34平米,2017.07.18,415,51656
玉兰香苑(四期) 2室1厅 61.87平米,2017.07.16,354,57217
汤臣高尔夫(别墅) 6室2厅 722.66平米,2017.07.15,6500,89946
玉兰香苑(二期) 1室1厅 60平米,2017.07.15,325,54167
玉兰香苑(二期) 1室1厅 60平米,2017.07.15,325,54167
阳光花城 2室2厅 97.62平米,2017.07.09,640,65561
张江汤臣豪园(四期) 2室2厅 89.9平米,2017.07.09,763,84873
张江汤臣豪园(二期) 2室2厅 76.87平米,2017.07.07,630,81957
张江汤臣豪园(四期) 3室2厅 130.85平米,2017.07.06,1060,81009
紫晶苑 2室2厅 80.24平米,2017.07.04,355,44243
玉兰香苑(二期) 3室2厅 121平米,2017.06.29,650,53720
张江公馆 3室2厅 105平米,2017.06.27,550,52381
汤臣高尔夫(公寓) 3室2厅 169.56平米,2017.06.27,1100,64874
益丰新村 2室1厅 75.44平米,2017.06.26,380,50372
玉兰香苑(三期) 2室2厅 91.04平米,2017.06.24,433,47562
展想悦廷 2室2厅 95平米,2017.06.24,240,25264
玉兰香苑(三期) 1室1厅 61.19平米,2017.06.24,330,53931
玉兰香苑(四期) 2室1厅 58.12平米,2017.06.18,318,54715
孙桥花苑 2室1厅 75.02平米,2017.06.18,300,39990
玉兰香苑(一期) 2室2厅 82.55平米,2017.06.18,448,54271
东方别墅 5室2厅 635.37平米,2017.06.14,4260,67048
汤臣豪园一期 4室2厅 174平米,2017.06.12,1250,71840
日月光水岸花园(公寓) 2室2厅 88.95平米,2017.06.10,609.5,68522
城市经典(四期) 2室2厅 112.42平米,2017.06.10,732,65113
古桐公寓 2室2厅 75.2平米,2017.06.10,398,52926
川杨新苑(三期) 3室2厅 112.22平米,2017.06.09,510,45447
香楠小区 2室1厅 67.48平米,2017.06.09,445,65946
汤臣豪庭 5室2厅 183.53平米,2017.06.07,1200,65385
玉兰香苑(二期) 3室2厅 109.26平米,2017.06.07,526,48143
日月光水岸花园(公寓) 3室2厅 111.6平米,2017.06.03,740,66309
杨镇新村 3室1厅 85.61平米,2017.06.03,415,48476
玉兰香苑(四期) 2室2厅 91.1平米,2017.06.03,464,50934
川杨新苑(二期) 3室2厅 91.6平米,2017.06.01,445,48581
汤臣豪庭 5室2厅 192.66平米,2017.05.31,1200,62286
绿地MTOWN 1室0厅 38.7平米,2017.05.26,200,51680
玉兰香苑(二期) 2室2厅 89.32平米,2017.05.26,445,49821
毕加索小镇(一期)(公寓) 1室1厅 66平米,2017.05.26,420,63637
汤臣豪庭 6室2厅 178.14平米,2017.05.26,1265,71012
毕加索小镇(一期)(公寓) 2室2厅 93平米,2017.05.26,506,54409
中芯花园(公寓) 2室2厅 103平米,2017.05.25,640,62136
东郊紫园 3室2厅 245.3平米,2017.05.25,1995,81329
绿地MTOWN 1室1厅 38平米,2017.05.22,208,54737
汤臣高尔夫(别墅) 4室2厅 458.66平米,2017.05.22,4500,98112
汤臣高尔夫(别墅) 4室2厅 458.66平米,2017.05.22,4500,98112
阳光花城 3室2厅 135.88平米,2017.05.20,860,63292
玉兰香苑(四期) 1室1厅 58平米,2017.05.20,340,58621
汤臣高尔夫(别墅) 6室2厅 435.87平米,2017.05.19,3500,80300
毕加索小镇(二期)(公寓) 3室2厅 150平米,2017.05.19,550,36667
玉兰香苑(二期) 2室1厅 58.98平米,2017.05.15,323,54765
张江汤臣豪园(三期) 2室2厅 87.32平米,2017.05.13,665,76157
中芯花园(公寓) 2室2厅 107.87平米,2017.05.13,660,61185
毕加索小镇(一期)(公寓) 1室1厅 66.7平米,2017.05.13,388,58171
益丰新村 2室1厅 70.99平米,2017.05.13,351,49444
张江汤臣豪园(四期) 2室2厅 90.81平米,2017.05.13,755,83141
玉兰香苑(四期) 2室2厅 90.98平米,2017.05.13,432,47483
玉兰香苑(三期) 1室1厅 62.25平米,2017.05.12,340,54619
城市经典(四期) 5室3厅 222.64平米,2017.05.12,1220,54797
盛大天地青春里(一期) 1室1厅 43.23平米,2017.05.12,199,46033
玉兰香苑(四期) 2室2厅 91.14平米,2017.05.11,440,48278
万科翡翠公园(商业类) 2室1厅 45平米,2017.05.10,258,57334
川杨新苑(三期) 2室1厅 57.8平米,2017.05.09,300,51904
东郊华庭 5室2厅 380.2平米,2017.05.09,1800,47344
香楠小区 1室1厅 53.33平米,2017.05.08,300,56254
川杨新苑(二期) 2室1厅 58平米,2017.05.06,295,50863
陶园 4室2厅 152.27平米,2017.05.06,955,62718
毕加索小镇(一期)(公寓) 2室2厅 93.11平米,2017.05.06,570,61218
玉兰香苑(二期) 2室1厅 57.86平米,2017.05.06,344.8,59593
香楠小区 3室1厅 85.95平米,2017.05.05,440,51193
汤臣豪园一期 3室2厅 257.23平米,2017.05.05,1350,52483
樟盛苑 3室1厅 90.43平米,2017.05.05,480,53080
紫晶苑 2室1厅 82.02平米,2017.05.04,380,46331
城市经典(四期) 2室2厅 118.16平米,2017.05.03,725,61358
张江公馆 2室2厅 71.36平米,2017.05.02,380,53252
阳光花城 3室2厅 115.46平米,2017.04.29,755,65391
孙桥花苑 2室1厅 80.92平米,2017.04.29,350,43253
玉兰香苑(二期) 2室2厅 74.19平米,2017.04.28,436,58769
孙桥花苑 2室1厅 64.44平米,2017.04.28,279,43297
紫晶苑 1室2厅 60.89平米,2017.04.27,275.5,45246
杨镇新村 2室1厅 71.62平米,2017.04.27,290,40492
古桐路小区 1室1厅 36.45平米,2017.04.27,216.2,59315
阳光花城 2室2厅 112.79平米,2017.04.26,735,65166
阳光花城 2室2厅 112.79平米,2017.04.26,735,65166
玉兰香苑(三期) 2室1厅 57.79平米,2017.04.26,340,58834
香楠小区 2室1厅 58平米,2017.04.25,326,56207
张江公馆 3室2厅 105平米,2017.04.24,500,47620
毕加索小镇(一期)(公寓) 2室2厅 93.06平米,2017.04.23,530,56953
玉兰香苑(二期) 2室2厅 88.91平米,2017.04.23,440,49489
城市经典(四期) 1室1厅 60.92平米,2017.04.23,448,73540
毕加索小镇(一期)(公寓) 1室1厅 66.21平米,2017.04.22,388,58602
汤臣湖庭 4室2厅 400.77平米,2017.04.22,2745,68494
中芯花园(公寓) 4室3厅 205.72平米,2017.04.22,1093,53131
广兰名苑 3室2厅 154.94平米,2017.04.20,718,46341
张江公馆 2室2厅 71.56平米,2017.04.20,390,54500
阳光花城 3室2厅 135.88平米,2017.04.18,898,66088
玉兰香苑(三期) 3室2厅 121.84平米,2017.04.16,563,46209
川杨新苑(四期) 1室1厅 57.16平米,2017.04.16,290,50735
华陇建中小区 2室1厅 58.31平米,2017.04.15,300,51450
贝越佳园 1室1厅 58.07平米,2017.04.15,362.5,62425
香楠小区 1室1厅 41.17平米,2017.04.14,220,53437
玉兰香苑(三期) 2室2厅 85.24平米,2017.04.13,418,49039
阳光花城 4室2厅 166.38平米,2017.04.13,998,59984
城市经典(四期) 1室1厅 63.92平米,2017.04.12,431.5,67507
张江汤臣豪园(三期) 3室1厅 88.67平米,2017.04.11,722,81426
东郊华庭 5室3厅 276平米,2017.04.10,1795,65037
盛大天地青春里(一期) 1室1厅 51平米,2017.04.06,190,37255
城市经典(四期) 1室1厅 60.92平米,2017.04.05,450,73868
玉兰香苑(一期) 2室2厅 94.12平米,2017.04.02,455,48343
阳光花城 3室2厅 134.51平米,2017.04.02,794,59030
玉兰香苑(一期) 1室2厅 57.36平米,2017.04.01,309,53871
玉兰香苑(四期) 3室2厅 91.12平米,2017.04.01,460,50483
杨镇新村 3室1厅 85.97平米,2017.04.01,358,41643
兰沁苑 2室2厅 92.44平米,2017.04.01,512,55388
杨镇新村 2室1厅 71.45平米,2017.03.31,314,43947
古桐公寓 2室1厅 65.68平米,2017.03.31,348,52985
紫晶苑 1室1厅 60.48平米,2017.03.31,269,44478
长城中环墅 4室2厅 183.3平米,2017.03.31,1050,57284
张江汤臣豪园(二期) 3室2厅 117.87平米,2017.03.31,750,63630
玉兰香苑(一期) 3室2厅 112.14平米,2017.03.31,536.5,47842
益丰新村 2室2厅 76.57平米,2017.03.31,400,52240
春港丽园(公寓) 2室1厅 58.09平米,2017.03.31,309,53194
香楠小区 1室1厅 38.94平米,2017.03.30,234.5,60221
